,utterance,intentClass,score
1470,hmm if i have more report tickect i would be happy report him,E,0.030918486
1471,GALAHD [SEPA] ALUUKHAWAKBAR,O,0.032645836
1472,please finish,O,0.00986978
1473,most uless retard ever,E,0.95430726
1474,that fucking wd stun [SEPA] srsly,E,0.97973895
1475,realy?,O,0.01999496
1476,calm down frank,O,0.054368958
1477,IF WERE A BHITTER MUCH BETTER,O,0.024967806
1478,XD [SEPA] WTF,O,0.009657762
1479,bristle won us the game,O,0.01551438
1480,maybe u just have 2 get gud,O,0.03119436
1481,afk,A,0.007645437
1482,gg,O,0.003705064
1483,haha,O,0.005444543
1484,can I fucking trashtalk my team without dying for a second?,E,0.9890069
1485,haha,O,0.005444543
1486,lencer want beg,O,0.2108157
1487,lol,O,0.003834314
1488,just report,A,0.013710657
1489,sauy thanks to me,O,0.007099262
1490,bet more plz [SEPA] not enuf [SEPA] BET MORE PLZ [SEPA] QOP 2k,I,0.5617285
1491,brain exploded,O,0.39529175
1492,lol :D,O,0.004220405
1493,dunno,O,0.049908124
1494,pls,A,0.005020918
1495,THE FUCK [SEPA] magnus u fuck,E,0.97712076
1496,YEA TRI MID PRETTY GOOD,O,0.039912593
1497,commend me tnx,A,0.022758683
1498,gg,O,0.003705064
1499,COMMEND SF SUPPORT,A,0.013645195
1500,c:,O,0.004329572
1501,wp,O,0.004130142
1502,Omg,O,0.007064862
1503,what?,O,0.006078562
1504,AFK,A,0.007645437
1505,waht a player,O,0.12758768
1506,Haha,O,0.005444543
1507,nice game [SEPA] nlob [SEPA] noob [SEPA] hahahaha [SEPA] so noob,E,0.9868776
1508,u must admit he ruined on purpose,O,0.060442746
1509,just check his games,O,0.03001904
1510,vamatem,O,0.020367565
1511,dive me,O,0.03666603
1512,lol =- =,O,0.012986561
1513,joke cm,E,0.06337213
1514,ajaja,O,0.0060277
1515,xd haste,O,0.005382936
1516,imposible to loss for 8,O,0.333103
1517,hey u know the vanguard > mek ud?,O,0.01093688
1518,tactical?,O,0.009701117
1519,resume? [SEPA] really?,O,0.011663911
1520,fu [SEPA] 4 carry [SEPA] 1 suuport [SEPA] gl,A,0.16343376
1521,coz of my dick,E,0.95982957
1522,not accepted [SEPA] too obvious,E,0.015735302
1523,hi dp,O,0.00724554
1524,EleNiggle,O,0.009679792
1525,See,O,0.007199028
1526,was msging someone,O,0.013562545
1527,GGWP,O,0.003610623
1528,EZ GAME,I,0.9895068
1529,sthap sf,O,0.014830255
1530,WHOS GONE FOR RADIANCE AND SHITTY SANDY,E,0.95818996
1531,u mean stack in 3k,I,0.07632935
1532,kill viper pelase [SEPA] about 20 times [SEPA] so he doesnt whine all the fuckign time [SEPA] about other people,E,0.94775873
1533,ggwp [SEPA] wp riki,O,0.009005888
1534,SO LET THEM BE,O,0.010095656
1535,gg,O,0.003705064
1536,HTJGHN GKP CA,O,0.007848478
1537,lol,O,0.003834314
1538,GO [SEPA] DUDE,O,0.06545026
1539,wp,O,0.004130142
1540,our am noob shit,E,0.98745674
1541,sup kristen,O,0.04931865
1542,should get reported,O,0.018429507
1543,its okay [SEPA] We got this laste,O,0.009572601
1544,22,O,0.03225007
1545,lol,O,0.003834314
1546,cant stop laughing with his skills [SEPA] invoker ilike u so much,O,0.36054125
1547,LOL,O,0.003834314
1548,Well played!,O,0.014765091
1549,and my tammates,O,0.15527496
1550,ez,I,0.9906709
1551,nice joke mate,E,0.23500504
1552,ur mum sucks mine right now,E,0.9334533
1553,injoker?,I,0.031335685
1554,),O,0.005761871
1555,wkwkw weaver,O,0.05850694
1556,i smell pussy,E,0.9201123
1557,u too,O,0.03130913
1558,lololol,O,0.006157
1559,stupid team [SEPA] ez,E,0.99191576
1560,shit [SEPA] ggwp,E,0.97992903
1561,ts issues [SEPA] sorry,O,0.019525543
1562,reborn pathing [SEPA] ofc [SEPA] click behind iceshards [SEPA] walk into shards [SEPA] yey,O,0.1977126
1563,lol,O,0.003834314
1564,u so horny,O,0.049539324
1565,polie,O,0.010459138
1566,ahahah,O,0.004973215
1567,lol,O,0.003834314
1568,LOL,O,0.003834314
1569,your friend too,O,0.024489403
1570,fuck,O,0.9805845
1571,im not lagging tho,O,0.006267428
1572,omni picker [SEPA] die,E,0.21463388
1573,almost [SEPA] the fuck,E,0.97261477
1574,TJHAT CLOACK,O,0.053774722
1575,nice afk,A,0.007536894
1576,LOL YOU'RE BACK,O,0.06223371
1577,Wtf,O,0.006190833
1578,WTF,O,0.006190833
1579,undying doesnt build mech,O,0.020992888
1580,lol,O,0.003834314
1581,So EZ mid [SEPA] lol [SEPA] Stupid,E,0.9911776
1582,with mid feeder [SEPA] haha,I,0.108584315
1583,sec,O,0.00713355
1584,| [SEPA] tryhard,O,0.051354636
1585,that was my fault,O,0.0630069
1586,"yes, slark",O,0.019893898
1587,LOL,O,0.003834314
1588,im done with ur dewarding lion and vbane,O,0.02201616
1589,says np,O,0.028571196
1590,gg,O,0.003705064
1591,boom,O,0.019358488
1592,gg,O,0.003705064
1593,HAHAHAAHHAHAHHAAAAH [SEPA] wisp so cute,O,0.13727999
1594,yes,O,0.00538252
1595,glad yall get along with each other well,O,0.012318318
1596,run,O,0.021279534
1597,Why you mid,O,0.02392761
1598,ff pls,O,0.008343156
1599,),O,0.005761871
1600,Wtf,O,0.006190833
1601,u just noob [SEPA] dun cocky early,E,0.9833313
1602,ty for w8ing,O,0.008180463
1603,he won [SEPA] really hard,O,0.020946484
1604,fuck you bh and nyx [SEPA] all game,E,0.9692742
1605,12 inch,O,0.02589918
1606,() [SEPA] EZ DOOM,I,0.9806793
1607,who?,O,0.00726219
1608,gg,O,0.003705064
1609,nice try brood,O,0.086993136
1610,you have !,O,0.008554609
1611,bb,O,0.007929171
1612,you are like 30k networth mroe than us,O,0.23206337
1613,66mins pause?,O,0.008489901
1614,except the enemy has range supports [SEPA] oh wait :^),O,0.016470099
1615,LOL,O,0.003834314
1616,Lol,O,0.003834314
1617,DOGE IT [SEPA] DOGE,O,0.85170877
1618,Haha,O,0.005444543
1619,fuknh noob gtamne,E,0.94304025
1620,oh it dousnt work with doom i forgot xd,O,0.02368957
1621,gg,O,0.003705064
1622,dat ult [SEPA] gg,O,0.011802372
1623,?,O,0.005423264
1624,GG,O,0.003705064
1625,lol,O,0.003834314
1626,tryna gank me? [SEPA] TRYNA GANK ME,O,0.058124185
1627,gg wp,O,0.004298163
1628,this was funny,O,0.03513592
1629,picE OF CRAP [SEPA] fiSH BOY,O,0.76250523
1630,WE DEFF,O,0.009991676
1631,this od does not deserve to win,I,0.0333714
1632,lol,O,0.003834314
1633,y [SEPA] team before kills [SEPA] and i didntt use my ulty,O,0.15580082
1634,gg,O,0.003705064
1635,lol vs,O,0.005838017
1636,Xd,O,0.005783994
1637,he imrpeganted tiny,O,0.33348948
1638,haha,O,0.005444543
1639,cuoi` lon`,O,0.008019937
1640,stop tpying u dead son,E,0.8661635
1641,luna 1651,O,0.017177908
1642,#idol,E,0.15318595
1643,coem [SEPA] come,O,0.007477682
1644,zeus noob [SEPA] report zeus,A,0.016311036
1645,report,A,0.013593352
1646,lol [SEPA] fuck,E,0.97449434
1647,17-9 ez kill [SEPA] hahaha,I,0.9882952
1648,? [SEPA] hes alive?,O,0.010048564
1649,u actually are allowed to be raped and murdered if you rat then say gg,E,0.6988715
1650,?,O,0.005423264
1651,lol,O,0.003834314
1652,are u  idioot22,E,0.2769344
1653,EAYH MID FAIL NOOB BS,E,0.9854855
1654,You going to heal us? [SEPA] Lol [SEPA] Taking my spells,O,0.055750202
1655,Report sf [SEPA] pinaka bobo sa buong mundo,A,0.05425995
1656,ez mmr  [SEPA] fukcing bying acc,E,0.9878292
1657,def farmers,O,0.11628888
1658,aylmao,O,0.0580955
1659,@_@,O,0.005489261
1660,rpeorten a lich [SEPA] please [SEPA] y entren [SEPA] noma [SEPA] pero reportenlo [SEPA] afk me,A,0.07163181
1661,shut up bitch,E,0.9729192
1662,Throw ??,O,0.008300413
1663,gg,O,0.003705064
1664,ggwp,O,0.003610623
1665,KEEP UR DREAM,O,0.03532166
1666,i don mind,O,0.011277484
1667,ggwp [SEPA] watch the farm,O,0.029802715
1668,Kappa,O,0.007271068
1669,lmao [SEPA] tru,O,0.01077544
1670,whrre are you sf,O,0.02140006
1671,last,O,0.005805625
1672,SO IDIOT,E,0.98159504
1673,ggwp,O,0.003610623
1674,gg,O,0.003705064
1675,idc,O,0.009249821
1676,SO EZ MID!,I,0.9891366
1677,peru [SEPA] ta [SEPA] izz [SEPA] emdio [SEPA] dijo q llevaran [SEPA] hahaha,E,0.256605
1678,beast,O,0.07010023
1679,well feed  [SEPA] really nigga,E,0.68809444
1680,win my dick,E,0.84959346
1681,kupal [SEPA] ss,O,0.03722393
1682,"not really man,",O,0.011527428
1683,omg [SEPA] alche peruvian [SEPA] 5k  [SEPA] bought an account,E,0.89268184
1684,lol,O,0.003834314
1685,better team,O,0.060749874
1686,LOL,O,0.003834314
1687,LOL,O,0.003834314
1688,lovely,O,0.006023419
1689,i can swap my courier with urs [SEPA] :D,O,0.05794483
1690,sorry,O,0.012316757
1691,i bet hes 12y old,O,0.05804529
1692,Wait,A,0.007002303
1693,wait,O,0.007002303
1694,rofl,O,0.008073466
1695,what a rembo,O,0.79519904
1696,ty,O,0.006772118
1697,we deserved to lose,O,0.01478454
1698,yep,O,0.007196577
1699,?,O,0.005423264
1700,lets wacth,O,0.024183286
1701,NICE BKB UEBISHE TA,O,0.16300246
1702,range,O,0.006435794
1703,GG tq,O,0.005595597
1704,Aw [SEPA] haha,O,0.00806898
1705,c:,O,0.004329572
1706,gg,O,0.003705064
1707,q tiny lixo,O,0.012979534
1708,Lol,O,0.003834314
1709,Ez [SEPA] ez [SEPA] ez [SEPA] ez [SEPA] ez,I,0.9908137
1710,;/ 4,O,0.011333004
1711,GG,O,0.003705064
1712,GGWP,O,0.003610623
1713,lets w8 [SEPA] give it to them,A,0.0199123
1714,d sent u pornsite [SEPA] still gank me,O,0.8259372
1715,wait,O,0.007002303
1716,sk carry op,O,0.017502824
1717,sure,O,0.010359842
1718,...,O,0.005191237
1719,Should i say ez or something?,O,0.98637277
1720,fag noob,E,0.98624575
1721,HAHA,O,0.005444543
1722,XD,O,0.005783994
1723,400 + bounty <3,O,0.14203198
1724,that necro..,O,0.036367405
1725,rage quit after such a great kill,I,0.67888486
1726,this ember [SEPA] need your help [SEPA] so bad,O,0.13006026
1727,you died cuz you chased pudge,O,0.48982742
1728,wont he back ?,O,0.006252955
1729,hahaha,O,0.006264759
1730,LOL,O,0.003834314
1731,ty,O,0.006772118
1732,doom creep [SEPA] nice doom ever [SEPA] haha,O,0.04942224
1733,???,O,0.006783488
1734,im not your brah brah,O,0.010088392
1735,win pls,O,0.005959647
1736,WP sf [SEPA] :D,O,0.008181647
1737,^^,O,0.006159399
1738,lOL,O,0.003834314
1739,what was that [SEPA] mortal kombat?,O,0.05504428
1740,axe didnt even use his ulti,I,0.018465918
1741,ty,O,0.006772118
1742,i have muted qop,A,0.009341825
1743,fuck rat,E,0.97774154
1744,BALANCED FUCKING HERO,E,0.9770454
1745,lame [SEPA] kin leh [SEPA] dun so noob,E,0.9638377
1746,coming please [SEPA] wait,A,0.008592807
1747,?,O,0.005423264
1748,./.,O,0.006806187
1749,jippers trippers. [SEPA] its fine  [SEPA] we were just having fun ;),O,0.064352795
1750,ez mid wr ?,I,0.98471224
1751,lol,O,0.003834314
1752,gg wp,O,0.004298163
1753,",3",O,0.010338238
1754,tp,O,0.009433972
1755,rip aa 2721,O,0.01674399
1756,+,O,0.00615749
1757,hate this game,O,0.31425104
1758,awtsu,O,0.05068656
1759,relax,O,0.018548293
1760,y dazzle,O,0.010180551
1761,w8 him,A,0.006557887
1762,you?= [SEPA] jajaja 3-9,I,0.23714031
1763,peenoise spoted,O,0.10898641
1764,si,O,0.004937407
1765,get fast [SEPA] i have a date,O,0.025854217
1766,nxt time,O,0.010232504
1767,idk who won this game,O,0.018205224
1768,ez bait,I,0.9901384
1769,sigh,O,0.020710774
1770,nice dust,O,0.03127728
1771,1v1 me gay,E,0.65805084
1772,goood one,O,0.5708699
1773,Did you guys pick for that amazing synergy?,O,0.0530661
1774,bg [SEPA] noob team,O,0.9876155
1775,i m in lag,O,0.008105959
1776,y y  [SEPA] i understand,O,0.013231323
1777,WHY?,O,0.005917509
1778,wtf,O,0.006190833
1779,alch i just checked ping [SEPA] its 1450 [SEPA] 150 [SEPA] not 1450 xD,O,0.026175551
1780,gg,O,0.003705064
1781,loading,O,0.011884751
1782,AM biggest noob,E,0.9852815
1783,idiot sladdar plss report,E,0.9772848
1784,wat,O,0.008973348
1785,youre welcum forcestaff,O,0.017602725
1786,sell acc [SEPA] PLS,O,0.056735575
1787,oops,O,0.010074477
1788,analfisting [SEPA] ...,O,0.02200268
1789,neva,O,0.011118746
1790,rip,O,0.013280127
1791,(:,O,0.005343375
1792,ggwp,O,0.003610623
1793,we resume at 10,A,0.010564103
1794,gg,O,0.003705064
1795,there im happy [SEPA] now end,O,0.018493723
1796,1 hit es dead :))),O,0.07328308
1797,"i talked to meister, seems you didnt wait for me",O,0.088737264
1798,are you trying to suck?,E,0.916336
1799,they y unpause ?,O,0.010069566
1800,wp,O,0.004130142
1801,nice bkb ck,O,0.013870932
1802,gl hf bro,O,0.005133086
1803,our carry am is shit,E,0.9708775
1804,win these noob feel pro ?,O,0.9869976
1805,finish,O,0.010023309
1806,if u unpuase,A,0.20047921
1807,gg,O,0.003705064
1808,k i wont kill u chill [SEPA] AW [SEPA] UVE GOT GAURDIANS,O,0.028560624
1809,relax,O,0.018548293
1810,wot,O,0.005465375
1811,=)'\,O,0.008205373
1812,END PLEASE,A,0.0068701
1813,?,O,0.005423264
1814,sk died 14 times [SEPA] nad is talking smack,O,0.5424557
1815,ez bot,I,0.9897405
1816,global duel [SEPA] gg,O,0.02038184
1817,im a good man with a good heart,O,0.018555442
1818,?,O,0.005423264
1819,lina [SEPA] go rosh [SEPA] i will feed [SEPA] dont want to play with retard [SEPA] s,E,0.8709327
1820,Rata,O,0.016836174
1821,commend es,A,0.009369898
1822,we are in 1k,I,0.025418654
1823,Kappa,O,0.007271068
1824,yea,O,0.005192353
1825,HE SAID HES LAGGING SO HES FEEDING  [SEPA] WAT A PEENOYS COME TO PLAY,E,0.06854963
1826,all the fcking game,O,0.44255266
1827,luckiest day in your life pudge? [SEPA] 3rd time,O,0.11440918
1828,i couldn't grave you [SEPA] that was your fault,O,0.020767609
1829,yes,O,0.00538252
1830,foodtrip,O,0.22753714
1831,fucking low skilled game,E,0.9828075
1832,?,O,0.005423264
1833,our gyro [SEPA] is retarded,E,0.9577615
1834,wp gg ez,I,0.9686186
1835,gg,O,0.003705064
1836,)),O,0.006264183
1837,need abba on my lane :?(((((,O,0.016911639
1838,EN D,O,0.00526551
1839,ah well it happens lell.,O,0.018158942
1840,WIPEOUT ? [SEPA] ONLY ME ?,O,0.1094217
1841,hahah,O,0.005882741
1842,MY WAY,O,0.007485592
1843,wr your such a dick,E,0.7880315
1844,damn aus dota is hard,I,0.410388
1845,yes [SEPA] I'm going to sue the internet [SEPA] starting with you. [SEPA] for copyright infringement.,O,0.5811176
1846,this void ;d [SEPA] so retard,E,0.9474284
1847,end fast plis [SEPA] my team noob,E,0.98418933
1848,lol what a fucking retard,E,0.9898683
1849,D,O,0.005517698
1850,mad cause bad morph?,E,0.5889062
1851,hahahaha,O,0.006988448
1852,Ez,I,0.9906709
1853,new manta,O,0.014011405
1854,PDUGA [SEPA] UR PUDGA IS RAGE BOY [SEPA] :D,O,0.5931543
1855,damn finally no alca,O,0.1928764
1856,if you win [SEPA] bitchass pussy,E,0.98500687
1857,sec,O,0.00713355
1858,hahaha,O,0.006264759
1859,like a,O,0.007066626
1860,;p; [SEPA] lol,O,0.003985483
1861,YEAH,O,0.01935722
1862,sent mid,O,0.01133116
1863,end mid,O,0.01952326
1864,awkawkakwkwa [SEPA] BH [SEPA] DIE AGAIN,O,0.14177518
1865,ff lest finish plz  [SEPA] fail mid lachi retrad nooob,E,0.42010665
1866,^),O,0.004213865
1867,gg,O,0.003705064
1868,WTF [SEPA] BM,O,0.011646751
1869,i want to tap that ass for real,O,0.8927584
1870,??,O,0.006067504
1871,fuck me then [SEPA] damn net [SEPA] 1k ping on many creeps and clash,E,0.9615769
1872,how can you possibly complain after the start we had [SEPA] you lost fair and square,O,0.013597395
1873,gg wp [SEPA] est silncer ever,O,0.06258611
1874,...... [SEPA] .,O,0.005877825
1875,ggwp,O,0.003610623
1876,WHAT [SEPA] WHY THE FUCK IS SINGSING IN THIS MMR,E,0.9587772
1877,woah 1-10 alch,I,0.48977667
1878,!,O,0.006539339
1879,mvp last place now this retards on a t4 team [SEPA] serves him right,O,0.91863596
1880,ez mid,I,0.9909566
1881,LMAO,O,0.006989517
1882,thankyou,O,0.006234343
1883,GGGGGGGGGGGGGGGGG,O,0.3259369
1884,ez,I,0.9906709
1885,lol,O,0.003834314
1886,solo gamesr puta report yan,A,0.030164579
1887,fucking shit stains,E,0.9866708
1888,what [SEPA] pudge [SEPA] ? [SEPA] pudge what r u saying?,I,0.16421676
1889,pls dont hunt me more T_T,O,0.015695993
1890,lmfao,O,0.004904936
1891,U TRIED,O,0.032096032
1892,END [SEPA] straight,O,0.006427092
1893,why pa why,O,0.006113613
1894,wait cmon,O,0.011700914
1895,ahha,O,0.004681543
1896,dont blame,O,0.048114274
1897,Ez,I,0.9906709
1898,XD,O,0.005783994
1899,lion [SEPA] u fucker [SEPA] JK JK i love u,E,0.9689914
1900,wpwp,O,0.006741553
1901,ez,I,0.9906709
1902,hes in dota [SEPA] just give him a min,O,0.014567792
1903,u did it !,O,0.013456819
1904,comeback?,O,0.006832107
1905,one fish eating another one,O,0.37633947
1906,hahaha,O,0.006264759
1907,ez,I,0.9906709
1908,cry,O,0.056031886
1909,cheeky cunt,E,0.08123396
1910,need a good man down here,O,0.009673216
1911,qop [SEPA] where are u [SEPA] now,O,0.043447588
1912,bully sf liek bully blind kid [SEPA] bully sf [SEPA] like bully blind kid [SEPA] its not good,O,0.9413899
1913,EZ MID,I,0.9909566
1914,",",O,0.005162858
1915,i only encountered u guys doing that,O,0.02360114
1916,? [SEPA] I think report us all then [SEPA] Since we lost all the lanes,A,0.012179379
1917,wp guys [SEPA] is commead,A,0.06522342
1918,pro hook [SEPA] lol,O,0.019287063
1919,gg wp,O,0.004298163
1920,G,A,0.004313199
1921,lol 5v1 and i still retk,O,0.22700332
1922,easy,O,0.023902053
1923,bolder throwing cunts [SEPA] gg,O,0.12397294
1924,how are u level 3 [SEPA] wtf,O,0.08724439
1925,all mid,O,0.019448176
1926,u want cumbak>,O,0.25138658
1927,lelz,O,0.009898956
1928,fuck YOU,E,0.97931457
1929,die,O,0.07757264
1930,"anybodsy elkse huge lag? [SEPA] like, right after the hook? :D",O,0.034143556
1931,and ur jsut shit,E,0.97535205
1932,thanks for not holding gem,O,0.010356559
1933,Wp,O,0.004130142
1934,just end it plz,O,0.015096396
1935,he will be abandon,O,0.015853409
1936,i eat too much chicken,I,0.533133
1937,fk u od,E,0.9041351
1938,fucking  [SEPA] same thing,E,0.9869349
1939,? [SEPA] are u stupid?,E,0.970078
1940,how do you find every ward i place,O,0.02634104
1941,GG,O,0.003705064
1942,wp [SEPA] report rexxar,E,0.037058
1943,force it,A,0.009729225
1944,you can't even count,O,0.02830243
1945,end masters,O,0.009675144
1946,?,O,0.005423264
1947,TAke,O,0.008952081
1948,all melee gahaha [SEPA] Rekt by enig,O,0.12489292
1949,GG,O,0.003705064
1950,lol,O,0.003834314
1951,ranfom pickers [SEPA] thd ranfom omg,O,0.01802878
1952,ez 4.3 [SEPA] randoms gold advantage [SEPA] but so stupids [SEPA] hahah [SEPA] see,I,0.98928434
1953,gg wp,O,0.004298163
1954,GGWP,O,0.003610623
1955,ggwp,O,0.003610623
1956,godong [SEPA] godthel,O,0.020748207
1957,ahah,O,0.009833384
1958,:D [SEPA] le 2-11 ember firstpickl,I,0.24273062
1959,like i said  [SEPA] i gave a few mins,O,0.005990844
1960,shit,E,0.97711915
1961,crash,O,0.041177396
1962,so EZ,I,0.9898197
1963,lol tusk,O,0.02954117
1964,lol,O,0.003834314
1965,wut?,O,0.004960155
1966,gg,O,0.003705064
1967,report am and silencer thanks,A,0.020448897
1968,joke,O,0.11814978
1969,im just here for emotional support,O,0.053707115
1970,gyro report,A,0.01565671
1971,W8 FOR VOID SS,A,0.030757234
1972,skill,O,0.007231302
1973,=.=,O,0.008663785
1974,fkin ember [SEPA] cannot save vs tinker [SEPA] already tried the best to hook the game,E,0.49067068
1975,idd,O,0.00849662
1976,come on piece of shit,E,0.97179747
1977,all report phenix chat abuse,I,0.12743628
1978,stinky pucj,O,0.59678
1979,--,O,0.019663466
1980,(:,O,0.005343375
1981,go,O,0.00806439
1982,wr suck that was true [SEPA] but this gyrohc,E,0.91695863
1983,gg,O,0.003705064
1984,thanks,O,0.005047334
1985,marko the best,O,0.01831612
1986,no take denied,O,0.026649574
1987,No SS  [SEPA] Just Stun,O,0.026055312
1988,gg wp,O,0.004298163
1989,pq meu sup,O,0.009380539
1990,gl hf,O,0.004906904
1991,)) [SEPA] coel masta [SEPA] raptor [SEPA] qop [SEPA] kill him,O,0.1324353
1992,i just do my job [SEPA] no hating here lol,O,0.09793437
1993,DIEBACK,O,0.14113517
1994,bh trash 4k,E,0.96046346
1995,you unpause for undying,A,0.015340025
1996,damn techies,O,0.43133986
1997,rfc,O,0.009971291
1998,ahhaha,O,0.005089495
1999,lol,O,0.003834314
2000,fucking remnant lol,E,0.9866223
2001,u shouldve seen him typing  [SEPA] in pick phase [SEPA] i got cancer,I,0.13237484
2002,lol we have useless doom idiots,O,0.8637664
2003,yea i cant win alone,O,0.016082957
2004,3k attitude nowadays,I,0.026299687
2005,thats good,O,0.008777362
2006,BASE [SEPA] UR FUCKING BASE,E,0.9818788
2007,blame,O,0.055188224
2008,bobo,O,0.017453413
2009,last pick random alche counter pick [SEPA] we have a 2 8k [SEPA] am and alche [SEPA] friends,I,0.40696332
2010,see,O,0.007199028
2011,ty for waiting,A,0.009091036
2012,feeding ta?,I,0.12873472
2013,ez pugna,I,0.98703754
2014,exactly,O,0.005183249
2015,bara [SEPA] dun charge me please,O,0.013403771
2016,sec,A,0.00713355
2017,no im onkly wisp picker,O,0.15259446
2018,oh,O,0.005329687
2019,nice ks,O,0.00720407
2020,team going 1 by 1 [SEPA] LMFAO,O,0.23081957
2021,sielencer impact = 0,O,0.24202082
2022,yeah [SEPA] hahahahaha,O,0.016609596
2023,lol [SEPA] nice comeback kid,I,0.3276958
2024,cry more,O,0.04359966
2025,stfu [SEPA] fag,E,0.8355347
2026,DEF?,O,0.009145903
2027,just doom me,O,0.023842286
2028,../..,O,0.006299336
2029,my team noobshit,E,0.9855622
2030,FUCKING BIG NOOB DETECTED,E,0.9919585
2031,block in my country,O,0.04212859
2032,Aw,O,0.00601768
2033,ez balanar :D,I,0.9810774
2034,8,O,0.117827035
2035,ur welcome,O,0.011404767
2036,Retard [SEPA] Aa,E,0.94247615
2037,#1 loster,I,0.023118073
2038,LOL [SEPA] LOL,O,0.004631312
2039,what site?,O,0.007895988
2040,2mins please,A,0.03018128
2041,./. [SEPA] ./. [SEPA] ./.,O,0.01194524
2042,ty say?,O,0.013170903
2043,"u guys had 1 support, thats why u lost",O,0.060231127
2044,wtf?,O,0.006470019
2045,putang Ina mo,E,0.011940378
2046,gg,O,0.003705064
2047,just dont talk shit until you win,E,0.957963
2048,slark was shit at bot lol,E,0.968728
2049,madness on alch [SEPA] :D [SEPA] best build ever,O,0.07723841
2050,i can give u my service [SEPA] if u really are desperate for mmr,O,0.13546439
2051,LOL,O,0.003834314
2052,cute cunt,E,0.1808891
2053,sniper is carrying yall,O,0.048122846
2054,report sf please,A,0.022057075
2055,dont spik englis,E,0.08350001
2056,ggwp,O,0.003610623
2057,gg mid,O,0.014989459
2058,gg,O,0.003705064
2059,OIHHH [SEPA] if you had tp,O,0.010646874
2060,fish taco [SEPA] and vaginitis,O,0.4459169
2061,don't play mid again storm,O,0.052472766
2062,no pause,A,0.009609067
2063,comeback,O,0.008564086
2064,noobs?,E,0.9859896
2065,this dog wr [SEPA] really wants me,E,0.46639752
2066,we wait for 5 min [SEPA] Early [SEPA] still asking more?,O,0.013066751
2067,GG,O,0.003705064
2068,yes gg,O,0.004399522
2069,,O,0.004165188
2070,loll,O,0.004762488
2071,ggwp,O,0.003610623
2072,chill iz not done yet [SEPA] lol,O,0.03371567
2073,kek,O,0.006682673
2074,did you buy an account?,I,0.061446823
2075,im mvp,O,0.007391111
2076,"funny i call mid, he takes it and says if you can't take it then quit [SEPA] and then feeds [SEPA] i love dotra",O,0.24454848
2077,gg,O,0.003705064
2078,gg girl,O,0.056883875
2079,hahha,O,0.006473732
2080,Ez dog,I,0.99180704
2081,w8 w8,A,0.006851924
2082,gg [SEPA] gg =))) [SEPA] that misss [SEPA] hahahaha [SEPA] nice miss,O,0.021996504
2083,ngewes,O,0.009162854
2084,<3 [SEPA] :),O,0.009407572
2085,22 [SEPA] 11,O,0.3909928
2086,we didnt,O,0.005448143
2087,commend me :D,A,0.008846636
2088,lol,O,0.003834314
2089,lol pugna quit?,O,0.09146966
2090,did that already,O,0.007700535
2091,what now?,O,0.006807464
2092,lol,O,0.003834314
2093,and some one right infront of me said that,O,0.015083888
2094,comr [SEPA] oi,O,0.013920458
2095,gg wp,O,0.004298163
2096,gg [SEPA] dazzle commended,A,0.014679295
2097,puck WTFUCK,E,0.0219343
2098,dc,O,0.008496941
2099,haa,O,0.006021136
2100,GOOD GAME NOOB MID,E,0.9880655
2101,WAS EZ NIGGAS [SEPA] WHY BB? [SEPA] gg noobs,E,0.9909162
2102,bg,O,0.005414094
2103,goddamn  [SEPA] ive spent half this game dead [SEPA] i swear,O,0.91280514
2104,w8 [SEPA] logi,A,0.015670782
2105,gg,O,0.003705064
2106,yeah.. hes like the king of lies reallyh,O,0.018358141
2107,ez [SEPA] ez,I,0.9909566
2108,gg,O,0.003705064
2109,gg wp,O,0.004298163
2110,lol unpause more fucktards,E,0.9786007
2111,:O,O,0.003690906
2112,*.*,O,0.007978361
2113,ÑAM [SEPA] ÑAM Ä; [SEPA] JOJOJO,O,0.010437199
2114,WP,O,0.004130142
2115,lol,O,0.003834314
2116,literally a monkey,E,0.16829538
2117,commend me ty,A,0.012901465
2118,this games for thomas my nigga,E,0.56731224
2119,alche 1st pick then go cloack,O,0.02636904
2120,plase sure reported,A,0.022256646
2121,:C [SEPA] REPORTENME,A,0.018380405
2122,the other 4 just made space,O,0.008377339
2123,still not gg? [SEPA] commend2,A,0.011326091
2124,fucktad tusk is 0,E,0.98026544
2125,double,O,0.013165395
2126,its okay i lose,O,0.025065534
2127,WITH YOUR RETARDED RUBICK PICK [SEPA] WITH YOUR 'OH IMA STEAL BH AND MAKE MY PLAYS' [SEPA] YOU FUCKING SUCK [SEPA] GET IT RIGHT [SEPA] YOU TRASHCAN,E,0.9823888
2128,uh ohh,O,0.006799751
2129,ggwp [SEPA] RP MEDUSA [SEPA] PLS [SEPA] LET END,O,0.016020838
2130,lol,O,0.003834314
2131,XD,O,0.005783994
2132,gg,O,0.003705064
2133,y3a ember,O,0.0646211
2134,well played rubick,O,0.15927087
2135,how's his performance guys?,O,0.012256125
2136,2 hit [SEPA] sorry,O,0.081692435
2137,w8,A,0.004498179
2138,gyro? did u ever seen him in bot lol? [SEPA] anyway wp,O,0.016547682
2139,gg,O,0.003705064
2140,EZ [SEPA] so much help at mid [SEPA] Still get owned,I,0.9862977
2141,ggwp,O,0.003610623
2142,ayy lmao [SEPA] ya bakbuki [SEPA] nice torando,O,0.111543305
